Gene,Importance
ENSG00000169550,0.049228992739707975
ENSG00000177807,0.04131010661505798
ENSG00000130829,0.041172596379299244
ENSG00000150201,0.038474887826089724
ENSG00000167580,0.03597448873447525
ENSG00000151704,0.03266030619082362
ENSG00000104332,0.030110696963980825
ENSG00000156284,0.02967979539332146
ENSG00000113889,0.028990675511069486
ENSG00000147257,0.024781978043625794
ENSG00000130208,0.02468774293539313
ENSG00000086159,0.02450769483072207
ENSG00000074803,0.023611377638207393
ENSG00000168447,0.021721885165635703
ENSG00000188488,0.020564215911297347
ENSG00000147614,0.019552235632499727
ENSG00000188175,0.018158911074295885
ENSG00000147606,0.017970233067740548
ENSG00000135373,0.017907414524876382
ENSG00000126878,0.017041002373310177
ENSG00000166828,0.01591007717508834
ENSG00000164007,0.014800948836532466
ENSG00000105929,0.01423051077987168
ENSG00000134258,0.014072531454294906
ENSG00000168269,0.013986772354959254
ENSG00000169344,0.013905835925206791
ENSG00000102878,0.01304882302556289
ENSG00000204511,0.012848578894406548
ENSG00000167741,0.012746144239571124
ENSG00000184012,0.01245141171794079
ENSG00000173253,0.012197560426933252
ENSG00000151418,0.011995356160991795
ENSG00000249601,0.011958425355356506
ENSG00000214128,0.011744283254803837
ENSG00000155066,0.010760068672592663
ENSG00000131910,0.010381409483783775
ENSG00000106236,0.009506230102825905
ENSG00000115112,0.009486946351109263
ENSG00000140519,0.009066213259473545
ENSG00000139055,0.008971498151548548
ENSG00000172005,0.007335203921596198
ENSG00000113946,0.007202896178628947
ENSG00000170231,0.006590313390997934
ENSG00000107159,0.006579900181935739
ENSG00000187957,0.006360633115464245
ENSG00000173898,0.0058337572204850766
ENSG00000265460,0.005380363676278403
ENSG00000129521,0.004666207335009569
ENSG00000035720,0.004413018631082442
ENSG00000113739,0.004365976936839365
ENSG00000185633,0.004360900596320135
ENSG00000186510,0.0038600747538701735
ENSG00000095970,0.0037171718640826718
ENSG00000185133,0.003670576765787766
ENSG00000274173,0.0036462823619110123
ENSG00000224490,0.0035630738828639186
ENSG00000132698,0.003535539701797305
ENSG00000198910,0.0033311494826855645
ENSG00000165685,0.0032923603526654223
ENSG00000070915,0.0031925415190609966
ENSG00000205795,0.003188533213457105
ENSG00000004939,0.0031293204969240805
ENSG00000196754,0.0031173994419510962
ENSG00000271275,0.003080894363623811
ENSG00000135245,0.003022112894619997
ENSG00000176387,0.0028963050446635815
ENSG00000138798,0.0028806392326191834
ENSG00000248144,0.002871314887392138
ENSG00000146674,0.002769021695488875
ENSG00000154269,0.002735180211531088
ENSG00000149927,0.0025536915129897803
ENSG00000214145,0.002344196837136142
ENSG00000183036,0.002257934956156749
ENSG00000153292,0.002257312595468671
ENSG00000127324,0.00224652790691422
ENSG00000167772,0.002107174414768193
ENSG00000182379,0.0020603508941462413
ENSG00000188060,0.002035396606036418
ENSG00000119888,0.0014995140862250108
ENSG00000111319,0.0014861225259022105
ENSG00000184908,0.0014808951431914187
ENSG00000082684,0.0014435444956666427
ENSG00000159166,0.0013983205800458167
ENSG00000171243,0.001322995568225735
ENSG00000174564,0.0013092637796737624
ENSG00000050767,0.0011382011495056302
ENSG00000007216,0.001007509421478827
ENSG00000196616,0.0009916516338384436
ENSG00000164825,0.0009286735988728517
ENSG00000131400,0.0009207604744869496
ENSG00000286733,0.0008931380125442999
ENSG00000256234,0.0008475304776489393
ENSG00000123610,0.0007998704634746712
ENSG00000147676,0.0007997520028811356
ENSG00000184292,0.0007984610340323028
ENSG00000204385,0.0007830176197588733
ENSG00000087494,0.0007676621134087217
ENSG00000135480,0.0007623574343617808
ENSG00000166741,0.0007433402381312766
ENSG00000125726,0.0007402726158855043
ENSG00000178776,0.0006897682793551754
ENSG00000170689,0.0006857141086799277
ENSG00000251320,0.0006323723224580936
ENSG00000145284,0.0006150882240507564
ENSG00000135447,0.0006082087732572699
ENSG00000152779,0.0005918430178072729
ENSG00000276980,0.0005813834445342701
ENSG00000145626,0.00057885418263368
ENSG00000066230,0.0005518603734924692
ENSG00000178343,0.0005414698780792013
ENSG00000204528,0.0005253946409040759
ENSG00000153563,0.0005089961893494634
ENSG00000131730,0.0005040585119869832
ENSG00000019186,0.0004747132177320301
ENSG00000117472,0.0004632770824510458
ENSG00000173376,0.0004567397077729821
ENSG00000102109,0.00041698060933810434
ENSG00000015413,0.0003893643887129772
ENSG00000118514,0.0003800400193254445
ENSG00000145824,0.00037584692994524764
ENSG00000132855,0.0003751251965949433
ENSG00000010379,0.0003557444441199455
ENSG00000164283,0.0003475201966471729
ENSG00000112499,0.00034035833632468015
ENSG00000101938,0.00032578952222693633
ENSG00000125144,0.0003147743032629466
ENSG00000101197,0.00028449175983466453
ENSG00000050628,0.0002691832375593116
ENSG00000138308,0.0002537884748852299
ENSG00000134240,0.00025127871161390345
ENSG00000152377,0.00024807556236896184
ENSG00000170099,0.0002475739878947789
ENSG00000077274,0.00023798083533133922
ENSG00000119630,0.00023465498867559497
ENSG00000181577,0.0002272499354223237
ENSG00000116014,0.00022352905939425306
ENSG00000208017,0.00022316787089624593
ENSG00000266976,0.00022239362756966275
ENSG00000125848,0.0002194306613528296
ENSG00000130822,0.00021843921803970683
ENSG00000204632,0.0002171914415643201
ENSG00000156395,0.0002150735582810446
ENSG00000256870,0.00021476828444705781
ENSG00000224057,0.00021083425582762769
ENSG00000011465,0.0002074281663210789
ENSG00000075886,0.00020593396196234918
ENSG00000157765,0.00020586401550957284
ENSG00000171345,0.00020293904078706547
ENSG00000081181,0.00020113502013420094
ENSG00000149124,0.0001960261691529415
ENSG00000095932,0.00019328300508146277
ENSG00000002726,0.00019175845380875367
ENSG00000141750,0.0001893030174371369
ENSG00000172927,0.00017796835064469161
ENSG00000047457,0.00017742339348653728
ENSG00000285972,0.00017549236162893277
ENSG00000171560,0.00016906091091588798
ENSG00000147003,0.0001672227130687673
ENSG00000116218,0.0001668018958918719
ENSG00000277586,0.00016617162042751617
ENSG00000100362,0.0001644297813684224
ENSG00000162896,0.00016336964039017038
ENSG00000135069,0.00015137587923234197
ENSG00000205279,0.00015108151584291348
ENSG00000164434,0.00015073862562391645
ENSG00000147647,0.000147034306308069
ENSG00000112936,0.00014381526147212113
ENSG00000249776,0.0001428606862214973
ENSG00000163083,0.00013981883195369972
ENSG00000144035,0.00013937347865085702
ENSG00000260877,0.00013800433969783218
ENSG00000236882,0.00013543973145075834
ENSG00000124253,0.00013230640439939584
ENSG00000153902,0.00012931672159129565
ENSG00000184434,0.0001292229193569785
ENSG00000250799,0.00012588100124367207
ENSG00000142549,0.00012586668297023923
ENSG00000104327,0.0001254790816693075
ENSG00000185686,0.00012545771191848544
ENSG00000181778,0.00012508828211156963
ENSG00000122121,0.000124328765847636
ENSG00000275385,0.00012247607864537496
ENSG00000169715,0.0001197392043629961
ENSG00000102854,0.0001196223251927695
ENSG00000184368,0.00011725741949577245
ENSG00000166448,0.00011666013787146221
ENSG00000138356,0.00011273991354030602
ENSG00000134716,0.00011257652181791039
ENSG00000225138,0.00011220347797867764
ENSG00000131183,0.0001086999802480308
ENSG00000164325,0.00010210088990490488
ENSG00000169245,0.00010151563652874892
ENSG00000113749,0.00010092525922792407
ENSG00000081479,9.603329466077852e-05
ENSG00000139329,9.559641496182777e-05
ENSG00000202538,9.460155223482789e-05
ENSG00000162391,9.434012037833059e-05
ENSG00000135205,9.385605536848729e-05
ENSG00000168333,9.361430619065222e-05
ENSG00000148942,9.341914141094733e-05
ENSG00000149452,9.207655197416454e-05
ENSG00000264175,8.999409650438045e-05
ENSG00000132437,8.995781676502251e-05
ENSG00000233610,8.964824770979288e-05
ENSG00000115386,8.916600659163893e-05
ENSG00000271824,8.886666012664039e-05
ENSG00000162366,8.833827400769008e-05
ENSG00000229028,8.768478854552672e-05
ENSG00000179242,8.64010872210854e-05
ENSG00000007062,8.623718349675385e-05
ENSG00000167183,8.569149170832562e-05
ENSG00000198075,8.428241476236722e-05
ENSG00000148600,8.416714099315211e-05
ENSG00000145692,8.409678720500262e-05
ENSG00000125730,8.409580120438903e-05
ENSG00000110799,8.404883658650735e-05
ENSG00000262655,8.40393291565971e-05
ENSG00000262198,8.205635613124482e-05
ENSG00000142583,8.186822099095416e-05
ENSG00000197891,8.180330575543356e-05
ENSG00000288003,8.16345950932584e-05
ENSG00000171564,8.161708934511849e-05
ENSG00000135220,8.099410306136579e-05
ENSG00000229380,8.095383734435402e-05
ENSG00000148702,8.047094534630796e-05
ENSG00000147872,7.968565235454515e-05
ENSG00000120708,7.910225990373698e-05
ENSG00000258667,7.890576467030309e-05
ENSG00000249948,7.817817141851817e-05
ENSG00000154277,7.817359851575891e-05
ENSG00000183747,7.569810365165512e-05
ENSG00000205358,7.542350552145786e-05
ENSG00000133169,7.415409495841073e-05
ENSG00000100253,7.304472188947998e-05
ENSG00000143248,7.18746079921544e-05
ENSG00000138755,7.090995209086633e-05
ENSG00000188373,6.865911624498943e-05
ENSG00000129151,6.835222668372181e-05
ENSG00000197901,6.831297361531815e-05
ENSG00000283683,6.766815103235842e-05
ENSG00000156222,6.70615165651442e-05
ENSG00000166143,6.469092154327324e-05
ENSG00000166840,6.433788006857961e-05
ENSG00000160801,6.371801718950599e-05
ENSG00000146039,6.0779619827223986e-05
ENSG00000101076,6.077214528797861e-05
ENSG00000197249,5.98629072940962e-05
ENSG00000237541,5.5508359811481605e-05
ENSG00000136872,5.253081713928084e-05
ENSG00000142494,5.056028027961106e-05
ENSG00000211652,5.0503373760336334e-05
ENSG00000248763,5.031041595140191e-05
ENSG00000171557,4.9934442869372414e-05
ENSG00000211597,4.9205630898419106e-05
ENSG00000226278,4.890927892999458e-05
ENSG00000172346,4.846892675551123e-05
ENSG00000163735,4.811075863006989e-05
ENSG00000137463,4.724984852455304e-05
ENSG00000226733,4.6896196857585334e-05
ENSG00000115009,4.6397131638334486e-05
